,price,year built,sqft,beds,bathroom,price_sqft,grage,HOA Fees,Address,Time On Web,sqft lot,Condo,Multi-Family,Single Family,Townhome
2,249500,1885.0,1512.0,3.0,2.5,165.0,2,205.0,"1321 S Christiana Ave, Chicago, IL 60623",1,3125.0,0,0,1,0
7,128250,1942.0,1520.0,4.0,2.0,84.0,1,551.1388379204893,"10119 S Saint Lawrence Ave, Chicago, IL 60628",1,3751.0,0,0,1,0
8,79000,1973.0,575.0,1.0,1.0,137.0,0,316.0,"3001 S Michigan Ave Unit 1606, Chicago, IL 60616",1,575.0,1,0,0,0
9,325000,1925.0,3125.0,6.0,3.0,104.0,2,175.0,"5028 W Adams St, Chicago, IL 60644",1,3125.0,0,1,0,0
10,275000,1953.0,1893.0,4.0,2.0,145.0,2,551.1388379204893,"639 E 100th St, Chicago, IL 60628",1,3751.0,0,0,1,0
12,240000,1954.0,1177.0,3.0,2.0,204.0,2,244.0,"12232 S Morgan St, Chicago, IL 60643",1,4500.0,0,0,1,0
13,275000,1914.0,3250.0,4.0,2.0,85.0,2,205.0,"2743 S Avers Ave, Chicago, IL 60623",1,3250.0,0,1,0,0
16,114000,1932.0,800.0,1.0,1.0,143.0,0,320.0,"1216 W Jarvis Ave Apt G, Chicago, IL 60626",1,800.0,1,0,0,0
17,140400,1918.0,1850.0,3.0,2.0,76.0,0,551.1388379204893,"3142 W 53rd Pl, Chicago, IL 60632",1,4356.0,0,0,1,0
20,170000,1968.0,800.0,1.0,1.0,213.0,1,898.0,"1700 E 56th St Apt 3404, Chicago, IL 60637",1,800.0,1,0,0,0
25,220000,1968.0,1433.0,2.0,2.0,154.0,1,1008.0,"6301 N Sheridan Rd Apt 6B, Chicago, IL 60660",2,1433.0,1,0,0,0
26,275000,2009.0,736.0,1.0,1.0,374.0,1,378.0,"235 W Van Buren St Unit 4106, Chicago, IL 60607",2,736.0,1,0,0,0
27,280000,2010.0,1423.0,3.0,2.0,197.0,2,244.0,"10641 S Martin St, Chicago, IL 60643",2,3125.0,0,0,1,0
28,499900,1953.0,2700.0,5.0,2.5,185.0,2,228.0,"2556 W 104th Pl, Chicago, IL 60655",2,5998.0,0,0,1,0
29,259900,1926.0,1415.0,3.0,3.0,184.0,2,551.1388379204893,"5335 S Francisco Ave, Chicago, IL 60632",2,3751.0,0,0,1,0
32,460000,2022.0,3125.0,3.0,3.5,147.0,2,307.0,"2928 N Elston Ave, Chicago, IL 60618",2,3125.0,0,1,0,0
33,108000,1965.0,800.0,1.0,1.0,135.0,0,258.0,"1714 W Touhy Ave Apt A1S, Chicago, IL 60626",2,800.0,1,0,0,0
34,239900,1885.0,2614.0,5.0,3.0,92.0,2,200.0,"4727 S Laflin St, Chicago, IL 60609",2,2614.0,0,1,0,0
36,157700,1954.0,1843.0,4.0,2.0,86.0,2,300.0,"8543 S Essex Ave, Chicago, IL 60617",2,3125.0,0,0,1,0
38,189000,1974.0,1000.0,2.0,1.5,189.0,0,350.0,"7244 N Hamilton Ave Apt 1E, Chicago, IL 60645",2,1000.0,1,0,0,0
39,230000,1971.0,1250.0,3.0,2.0,184.0,0,244.0,"11305 S Aberdeen St, Chicago, IL 60643",2,3123.0,0,0,1,0
42,209000,1962.0,2000.0,3.0,2.0,105.0,0,337.0,"5252 S Drexel Ave Apt 2A, Chicago, IL 60615",123,2000.0,1,0,0,0
48,235000,1949.0,1677.0,4.0,3.0,140.0,2,551.1388379204893,"2151 120th St, Blue Island, IL 60406",127,2500.0,0,0,1,0
54,259000,1949.0,900.0,1.0,1.0,288.0,0,613.0,"130 S Canal St Apt 721, Chicago, IL 60606",79,900.0,1,0,0,0
55,160000,1969.0,475.0,1.0,1.0,337.0,0,292.0,"450 W Briar Pl Apt 4L, Chicago, IL 60657",14,475.0,1,0,0,0
63,80000,1890.0,2054.0,5.0,2.0,39.0,0,551.1388379204893,"7436 S Normal Ave, Chicago, IL 60621",93,6682.0,0,0,1,0
64,385000,1906.0,1050.0,2.0,1.5,367.0,1,447.0,"2300 W Wabansia Ave Apt 117, Chicago, IL 60647",90,1050.0,1,0,0,0
70,499000,2003.0,2150.0,3.0,2.5,232.0,2,471.0,"2750 N Wolcott Ave Apt 1S, Chicago, IL 60614",67,2150.0,1,0,0,0
71,399000,1887.0,3125.0,6.0,2.0,128.0,0,237.0,"4563 S Wabash Ave, Chicago, IL 60653",100,3125.0,0,1,0,0
74,243900,1927.0,1920.0,5.0,3.0,127.0,0,228.0,"11206 S Christiana Ave, Chicago, IL 60655",103,3780.0,0,0,1,0
75,290000,1913.0,1120.0,2.0,2.0,259.0,1,973.0,"212 W Washington St Apt 1607, Chicago, IL 60606",184,1120.0,1,0,0,0
79,389000,1944.0,1545.0,3.0,2.0,252.0,0,250.0,"6445 N Ogallah Ave, Chicago, IL 60631",13,4125.0,0,0,1,0
81,415000,1918.0,2564.0,4.0,2.0,162.0,2,320.0,"4833 N Troy St, Chicago, IL 60625",51,3485.0,0,1,0,0
87,269900,1969.0,2020.0,3.0,2.0,134.0,2,551.1388379204893,"2647 E 127th St, Chicago, IL 60633",11,3576.0,0,0,1,0
88,299900,1923.0,2668.0,4.0,3.0,112.0,2,551.1388379204893,"8747 S Parnell Ave, Chicago, IL 60620",11,4391.0,0,0,1,0
89,59999,1906.0,1402.0,3.0,1.0,43.0,2,551.1388379204893,"7542 S Harvard Ave, Chicago, IL 60620",11,4038.0,0,0,1,0
